# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "gene" "-g" "locus_tag" "-a" "../../00_genome/genomic.gff" "-o" "../../HVO_counts/2019_counts2.txt" "dpyrE2-4hmfe-2_S5_L002_R1_001.fastq.gz_sorted.bam" "dpyrE2-4hpfe-2_S2_L002_R1_001.fastq.gz_sorted.bam" "dpyrE2-4hpfe-4_S16_L003_R1_001.fastq.gz_sorted.bam" "dpyrE2-4hpfe-5_S12_L002_R1_001.fastq.gz_sorted.bam" "dtbsP-4hmfe-5_S46_L005_R1_001.fastq.gz_sorted.bam" "dtbsP-4hmfe-6_S52_L005_R1_001.fastq.gz_sorted.bam" "dtbsP-4hpfe-2_S38_L004_R1_001.fastq.gz_sorted.bam" "dtrmB-4hmfe-5_S30_L004_R1_001.fastq.gz_sorted.bam" "dtrmBdtbsP-4hmfe-5_S66_L006_R1_001.fastq.gz_sorted.bam" "HV35-ypc18_S15_L002_R1_001.fastq.gz_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	dpyrE2-4hmfe-2_S5_L002_R1_001.fastq.gz_sorted.bam	dpyrE2-4hpfe-2_S2_L002_R1_001.fastq.gz_sorted.bam	dpyrE2-4hpfe-4_S16_L003_R1_001.fastq.gz_sorted.bam	dpyrE2-4hpfe-5_S12_L002_R1_001.fastq.gz_sorted.bam	dtbsP-4hmfe-5_S46_L005_R1_001.fastq.gz_sorted.bam	dtbsP-4hmfe-6_S52_L005_R1_001.fastq.gz_sorted.bam	dtbsP-4hpfe-2_S38_L004_R1_001.fastq.gz_sorted.bam	dtrmB-4hmfe-5_S30_L004_R1_001.fastq.gz_sorted.bam	dtrmBdtbsP-4hmfe-5_S66_L006_R1_001.fastq.gz_sorted.bam	HV35-ypc18_S15_L002_R1_001.fastq.gz_sorted.bam
HVO_RS13155	NC_013967.1	1626020	1626556	+	537	226	312	352	423	1	54	384	518	161	24
HVO_RS13160	NC_013967.1	1626783	1627772	+	990	4132	6477	6478	5020	4	678	5114	1309	532	602
HVO_RS13165	NC_013967.1	1627769	1628884	+	1116	3187	4941	5201	3611	0	520	4117	796	253	529
HVO_RS13170	NC_013967.1	1628884	1629765	+	882	1954	4581	4828	3345	0	449	4111	431	260	572
HVO_RS13175	NC_013967.1	1629850	1630323	-	474	985	601	752	792	2	48	1153	1106	332	108
HVO_RS13180	NC_013967.1	1630387	1631157	-	771	3641	2285	2237	2646	7	139	2996	4156	863	338
HVO_RS13185	NC_013967.1	1631305	1632306	+	1002	717	914	912	839	0	136	1326	685	207	98
HVO_RS13190	NC_013967.1	1632381	1633343	-	963	1527	1865	2084	1585	1	213	1476	705	211	184
HVO_RS13195	NC_013967.1	1633761	1634144	+	384	129	121	120	123	0	7	160	153	20	22
HVO_RS13200	NC_013967.1	1634166	1635029	+	864	51	82	82	118	0	4	128	72	32	10
HVO_RS13205	NC_013967.1	1635032	1636105	+	1074	38	70	56	78	0	3	71	80	20	9
HVO_RS13210	NC_013967.1	1636102	1637166	+	1065	53	91	74	85	0	2	87	81	35	10
HVO_RS13215	NC_013967.1	1637163	1637525	+	363	8	12	11	12	0	1	8	15	7	5
HVO_RS13220	NC_013967.1	1637522	1638643	+	1122	71	85	84	99	0	1	100	87	44	7
HVO_RS13225	NC_013967.1	1638652	1639236	+	585	14	27	33	22	0	3	42	27	7	2
HVO_RS13230	NC_013967.1	1639238	1639897	+	660	43	42	59	62	0	4	74	47	23	4
HVO_RS13235	NC_013967.1	1639898	1640845	+	948	91	120	134	92	0	9	127	167	40	13
HVO_RS13240	NC_013967.1	1640842	1641810	+	969	68	101	70	89	0	6	100	116	32	16
HVO_RS13245	NC_013967.1	1641810	1642469	+	660	53	66	98	70	0	3	90	95	34	5
HVO_RS13250	NC_013967.1	1642780	1644936	+	2157	5529	13238	13744	15138	6	493	19760	8614	1629	2200
HVO_RS13255	NC_013967.1	1645089	1646900	-	1812	413	632	681	699	1	45	1599	649	329	91
HVO_RS20970	NC_013967.1	1647441	1647956	+	516	760	649	676	864	0	52	913	1130	230	112
HVO_RS13265	NC_013967.1	1648042	1648317	+	276	330	254	301	333	1	8	407	442	49	48
HVO_RS13270	NC_013967.1	1648457	1649626	-	1170	421	356	348	532	0	23	466	520	61	62
HVO_RS13275	NC_013967.1	1649677	1650921	+	1245	3113	1366	1349	2063	1	124	1507	2922	1068	189
HVO_RS13280	NC_013967.1	1650909	1651583	-	675	1348	841	852	1036	4	117	1200	2203	470	129
HVO_RS20975	NC_013967.1	1651680	1651850	-	171	901	494	456	484	4	110	682	2536	344	75
HVO_RS13285	NC_013967.1	1652155	1652478	+	324	53	34	48	48	0	4	73	311	15	2
HVO_RS13290	NC_013967.1	1652567	1654345	+	1779	5119	1663	1637	1707	6	324	2186	9745	1010	278
HVO_RS13295	NC_013967.1	1654412	1654696	+	285	595	750	807	750	3	44	967	657	159	122
HVO_RS13300	NC_013967.1	1655015	1655935	+	921	3303	1128	1075	1284	2	158	1934	954	164	107
HVO_RS13305	NC_013967.1	1655978	1656925	-	948	966	371	427	481	1	135	1199	2502	84	88
HVO_RS13310	NC_013967.1	1657128	1657616	+	489	243	213	275	305	1	26	451	291	46	63
HVO_RS20175	NC_013967.1	1657661	1657936	+	276	106	95	123	131	0	14	244	151	31	17
HVO_RS13325	NC_013967.1	1659966	1660205	+	240	38	84	82	82	0	7	95	49	18	5
HVO_RS20980	NC_013967.1	1660355	1660495	+	141	171	238	247	296	1	24	262	131	57	28
HVO_RS13330	NC_013967.1	1660545	1661777	-	1233	1657	1433	1476	1331	0	218	1387	773	234	149
HVO_RS20185	NC_013967.1	1661889	1662266	+	378	273	310	374	311	0	14	235	155	75	47
HVO_RS13340	NC_013967.1	1662369	1663601	-	1233	1831	4074	4768	4207	0	205	3775	1369	354	672
HVO_RS13345	NC_013967.1	1663843	1664175	-	333	1134	1479	1539	1988	2	97	1453	2340	589	164
HVO_RS13350	NC_013967.1	1664260	1665405	-	1146	1485	1356	1333	1503	0	104	2022	1207	301	247
HVO_RS19290	NC_013967.1	1665497	1665924	-	428	584971	301760	321579	407766	250	19044	405697	729138	177500	45367
HVO_RS13355	NC_013967.1	1666075	1666677	+	603	3808	2913	3004	4069	2	123	5938	2666	757	593
HVO_RS13360	NC_013967.1	1666767	1667933	-	1167	1194	1635	1630	1898	0	104	2488	724	426	222
HVO_RS13365	NC_013967.1	1668011	1668331	-	321	122	142	146	137	0	8	157	125	28	18
HVO_RS13370	NC_013967.1	1668369	1669796	-	1428	1300	796	844	929	0	78	743	693	203	95
HVO_RS13375	NC_013967.1	1669841	1670281	-	441	379	264	282	397	0	50	350	317	114	36
HVO_RS13380	NC_013967.1	1670378	1671808	-	1431	3326	2322	2370	2465	3	208	3214	3753	551	397
HVO_RS13385	NC_013967.1	1671908	1672480	+	573	840	569	560	591	1	24	670	993	205	55
HVO_RS13390	NC_013967.1	1672559	1673044	-	486	787	706	800	899	0	18	765	779	225	77
HVO_RS13395	NC_013967.1	1673282	1675861	+	2580	4052	1300	1272	1198	2	112	3496	1764	715	337
HVO_RS13400	NC_013967.1	1675922	1677049	+	1128	663	778	721	744	1	68	1280	1091	255	84
HVO_RS13405	NC_013967.1	1677249	1677677	-	429	1693	683	682	799	2	43	836	568	201	96
HVO_RS13410	NC_013967.1	1677900	1678811	-	912	564	371	432	501	0	26	612	725	131	50
HVO_RS13415	NC_013967.1	1678866	1679552	+	687	536	421	441	614	0	43	713	654	209	47
HVO_RS13420	NC_013967.1	1679617	1680906	+	1290	2209	3139	3188	4673	0	177	4411	3608	965	382
HVO_RS13425	NC_013967.1	1680926	1681369	-	444	550	937	1028	1171	0	31	1142	1114	234	87
HVO_RS13430	NC_013967.1	1681496	1682023	+	528	583	1000	1046	1026	0	52	1281	495	217	113
HVO_RS13435	NC_013967.1	1682086	1682775	-	690	591	716	845	818	0	35	1204	674	213	93
HVO_RS13440	NC_013967.1	1682896	1683264	+	369	945	599	642	654	1	24	760	1146	255	121
HVO_RS13445	NC_013967.1	1683261	1683815	+	555	1935	1224	1318	1198	0	54	1514	2460	464	160
HVO_RS13450	NC_013967.1	1683867	1684322	-	456	2738	1997	2046	2327	2	82	2227	3445	645	245
HVO_RS13455	NC_013967.1	1684424	1684885	+	462	991	831	746	908	0	47	929	1168	422	94
HVO_RS13460	NC_013967.1	1684989	1686278	+	1290	3231	3692	3737	4336	3	288	4850	2279	872	593
HVO_RS13465	NC_013967.1	1686324	1686752	-	429	631	1131	1124	1303	1	78	1872	414	155	181
HVO_RS13470	NC_013967.1	1686807	1687244	-	438	944	2014	2151	1950	0	166	4559	453	200	387
HVO_RS13475	NC_013967.1	1687269	1687670	-	402	3682	8654	9245	9696	5	1020	22083	2611	865	1289
HVO_RS13480	NC_013967.1	1687825	1688127	+	303	426	701	665	949	0	40	711	604	198	107
HVO_RS13485	NC_013967.1	1688224	1689318	-	1095	3681	4737	4918	5350	4	291	5605	4627	1436	647
HVO_RS13490	NC_013967.1	1689487	1690386	+	900	1968	2653	2817	3267	2	169	5531	2392	727	341
HVO_RS13495	NC_013967.1	1690567	1691148	+	582	9915	11307	11520	11801	8	905	23586	10213	2289	2193
HVO_RS13500	NC_013967.1	1691389	1692804	+	1416	1246	2076	2259	2096	1	116	1929	1443	268	260
HVO_RS13505	NC_013967.1	1692867	1692939	+	73	288	213	222	361	0	9	348	415	92	32
HVO_RS13510	NC_013967.1	1694560	1695912	+	1353	250	322	353	380	0	14	291	208	32	49
HVO_RS20190	NC_013967.1	1696544	1696873	+	330	67	124	124	149	0	3	116	65	8	20
HVO_RS13530	NC_013967.1	1698524	1699651	+	1128	339	432	465	494	0	25	529	293	34	102
HVO_RS20205	NC_013967.1	1699699	1700727	-	1029	132	111	132	161	0	2	172	192	27	27
HVO_RS13535	NC_013967.1	1701014	1701250	+	237	1	1	1	6	0	0	10	5	0	1
HVO_RS13540	NC_013967.1	1701339	1702970	+	1632	40	41	57	70	0	4	88	43	17	5
HVO_RS13545	NC_013967.1	1703287	1703676	+	390	384	857	956	1127	0	28	1021	449	62	186
HVO_RS13550	NC_013967.1	1704184	1704411	+	228	62	106	70	78	1	5	84	167	20	18
HVO_RS13560	NC_013967.1	1704683	1705852	+	1170	386	331	356	458	0	27	450	436	59	71
HVO_RS13565	NC_013967.1	1706125	1706198	+	74	12	1	5	5	0	1	4	2	2	1
HVO_RS13570	NC_013967.1	1706585	1708384	-	1800	2419	5038	5433	5517	5	216	3761	2910	545	700
HVO_RS13575	NC_013967.1	1708769	1710103	+	1335	1556	1333	1363	1390	1	71	1648	2410	507	134
HVO_RS13580	NC_013967.1	1710113	1710439	-	327	537	497	467	604	1	39	603	607	108	68
HVO_RS13585	NC_013967.1	1710559	1711206	-	648	859	886	963	1120	0	69	1180	839	179	116
HVO_RS13590	NC_013967.1	1711294	1712145	-	852	1063	1044	1039	1093	2	53	1294	1065	253	148
HVO_RS13595	NC_013967.1	1712217	1712663	-	447	352	517	556	721	0	24	558	648	119	54
HVO_RS13600	NC_013967.1	1712786	1714081	-	1296	2283	2803	2874	3150	1	140	3327	2433	483	385
HVO_RS13605	NC_013967.1	1714136	1715041	-	906	621	850	950	906	0	53	1388	533	140	123
HVO_RS13610	NC_013967.1	1715144	1715734	-	591	1430	1326	1276	1579	2	72	1784	1128	416	180
HVO_RS13615	NC_013967.1	1715738	1716100	-	363	1726	1342	1464	1834	2	94	2176	1917	276	228
HVO_RS13620	NC_013967.1	1716206	1716661	-	456	5651	10619	11277	12497	10	1081	20007	4256	1353	1802
HVO_RS13625	NC_013967.1	1716776	1717804	-	1029	1225	1710	1718	1791	1	90	2544	531	216	318
HVO_RS13630	NC_013967.1	1717971	1718864	+	894	1456	1321	1503	1664	0	143	2672	1388	424	207
HVO_RS13635	NC_013967.1	1718904	1720043	-	1140	5382	2686	2577	2697	5	242	2842	3868	604	372
HVO_RS13640	NC_013967.1	1720493	1720738	-	246	2138	903	943	1341	0	416	497	1378	377	162
HVO_RS13645	NC_013967.1	1721045	1721830	-	786	1215	996	1128	1254	1	73	1659	1974	434	150
HVO_RS13650	NC_013967.1	1721855	1722199	-	345	152	188	181	267	0	5	391	294	67	22
HVO_RS13655	NC_013967.1	1722293	1723006	+	714	827	1696	1717	1805	1	90	3035	396	262	310
HVO_RS13660	NC_013967.1	1723008	1724675	+	1668	2856	6415	6771	6552	5	307	10749	1317	1163	1171
HVO_RS13665	NC_013967.1	1724727	1725266	-	540	1248	1429	1643	1551	0	86	2506	1877	449	221
HVO_RS13670	NC_013967.1	1725397	1725873	+	477	11113	3912	3811	5550	7	289	3816	4187	2293	533
HVO_RS13675	NC_013967.1	1726022	1727809	+	1788	4973	3219	3440	3628	11	265	3292	2214	684	497
HVO_RS13680	NC_013967.1	1727916	1729421	+	1506	7714	9142	9626	9490	3	523	12715	7576	1779	1325
HVO_RS13685	NC_013967.1	1729602	1729850	-	249	351	605	676	836	0	46	997	429	101	98
HVO_RS20985	NC_013967.1	1730131	1730301	-	171	810	809	864	1271	0	47	1462	1018	280	133
HVO_RS13690	NC_013967.1	1730301	1731374	-	1074	5411	5643	5870	7933	5	299	8446	5959	1179	1016
HVO_RS13695	NC_013967.1	1731564	1732481	+	918	592	683	726	692	0	49	859	316	89	154
HVO_RS13700	NC_013967.1	1732596	1732892	+	297	825	512	531	752	1	40	566	864	205	54
HVO_RS13705	NC_013967.1	1732943	1733122	+	180	389	364	418	439	1	28	533	413	50	44
HVO_RS13710	NC_013967.1	1733316	1733386	-	71	248	272	331	370	1	32	744	344	72	54
HVO_RS13715	NC_013967.1	1733825	1734655	+	831	9020	6769	7019	7346	9	273	7512	2087	792	752
HVO_RS13720	NC_013967.1	1734697	1735392	-	696	1105	883	882	796	1	74	1156	911	270	95
HVO_RS13725	NC_013967.1	1735453	1736130	+	678	3150	3302	3385	3798	0	256	4982	4905	892	400
HVO_RS13730	NC_013967.1	1736209	1736280	+	72	139	305	294	316	0	23	407	192	32	26
HVO_RS13735	NC_013967.1	1736369	1737445	-	1077	910	397	438	293	2	66	429	448	85	70
HVO_RS13740	NC_013967.1	1737687	1738298	-	612	4631	1109	1217	1031	6	205	1916	7997	455	292
HVO_RS13745	NC_013967.1	1738397	1739014	+	618	482	237	223	238	1	14	206	379	51	36
HVO_RS13750	NC_013967.1	1739055	1739708	+	654	428	794	837	790	0	115	676	840	160	84
HVO_RS13755	NC_013967.1	1740018	1740884	-	867	1195	1144	1151	1517	2	54	1746	704	424	166
HVO_RS13760	NC_013967.1	1740881	1741579	-	699	1212	1027	1218	1455	0	48	1302	728	228	118
HVO_RS13765	NC_013967.1	1741604	1742632	-	1029	3938	2397	2513	3955	1	68	2476	1472	915	286
HVO_RS13770	NC_013967.1	1742864	1743340	+	477	727	435	479	558	0	40	540	974	202	50
HVO_RS20990	NC_013967.1	1743400	1743573	-	174	663	538	542	586	0	34	552	799	174	57
HVO_RS20995	NC_013967.1	1743570	1743746	-	177	339	298	284	383	0	14	470	427	107	44
HVO_RS13775	NC_013967.1	1743807	1744214	-	408	696	738	809	963	1	48	1206	513	177	121
HVO_RS13780	NC_013967.1	1744375	1745007	-	633	1864	2146	2169	2231	0	145	2971	1943	424	343
HVO_RS13785	NC_013967.1	1745062	1745340	-	279	2040	2190	2239	3380	2	166	4204	2534	1155	336
HVO_RS13790	NC_013967.1	1745405	1747063	-	1659	1671	5271	5811	6210	5	353	10019	1231	582	1039
HVO_RS13795	NC_013967.1	1747097	1747402	-	306	2641	5961	6491	7223	2	499	12727	2896	638	1241
HVO_RS13800	NC_013967.1	1747471	1748010	-	540	1820	4177	4345	4529	1	266	6209	864	857	681
HVO_RS13805	NC_013967.1	1748024	1748221	-	198	1078	2306	2474	2478	1	126	3197	544	217	476
HVO_RS13810	NC_013967.1	1748221	1748793	-	573	2347	5388	5811	5955	1	384	7265	1226	582	1047
HVO_RS13815	NC_013967.1	1748801	1749190	-	390	1943	3992	4119	4865	0	274	5343	1100	909	623
HVO_RS13820	NC_013967.1	1749192	1750424	-	1233	8164	13119	13787	14250	11	937	21174	4388	2233	2604
HVO_RS13825	NC_013967.1	1750666	1751475	-	810	164	684	670	563	5	116	5121	492	942	210
HVO_RS13830	NC_013967.1	1751599	1752582	+	984	1890	1188	1323	1231	3	96	2200	2122	523	189
HVO_RS13835	NC_013967.1	1752587	1752799	-	213	351	231	290	270	0	10	417	375	96	32
HVO_RS13840	NC_013967.1	1752796	1753620	-	825	1187	1008	995	1090	0	108	1581	1096	310	193
HVO_RS13845	NC_013967.1	1754022	1754762	+	741	277	454	504	430	0	34	425	280	48	45
HVO_RS13850	NC_013967.1	1754807	1756231	-	1425	4457	7485	7791	7126	4	551	6712	3912	716	1180
HVO_RS13855	NC_013967.1	1756555	1758696	+	2142	1002	1071	1125	1071	0	53	1258	588	142	159
HVO_RS13870	NC_013967.1	1761405	1761608	+	204	196	183	201	458	0	1	80	55	80	5
HVO_RS13875	NC_013967.1	1761736	1762869	+	1134	18729	5003	5170	11651	3	77	1184	3935	2489	146
HVO_RS21000	NC_013967.1	1763000	1763173	+	174	286	567	590	678	1	39	894	170	92	73
HVO_RS13880	NC_013967.1	1763225	1765132	-	1908	6727	9356	9797	10816	6	590	14410	5034	1640	1495
HVO_RS13885	NC_013967.1	1765262	1767262	-	2001	7175	7625	7922	10058	3	149	2734	3353	1756	446
HVO_RS13890	NC_013967.1	1767360	1768268	-	909	2039	1674	1712	1526	1	56	2058	2739	669	197
HVO_RS20210	NC_013967.1	1768353	1768697	+	345	281	260	261	304	0	17	566	482	65	52
HVO_RS13900	NC_013967.1	1768729	1770297	+	1569	13518	11699	12277	16610	4	66	2261	4799	1861	367
HVO_RS13905	NC_013967.1	1770475	1771857	+	1383	5659	8880	9391	11125	5	445	11834	4819	1675	1328
HVO_RS13910	NC_013967.1	1771907	1772260	-	354	806	923	980	1092	3	51	1208	1209	226	112
HVO_RS13915	NC_013967.1	1772389	1772886	+	498	2184	2045	2142	2449	2	204	3204	2543	527	328
HVO_RS13920	NC_013967.1	1772932	1773294	-	363	818	587	717	837	0	60	986	975	239	84
HVO_RS13925	NC_013967.1	1773508	1774485	+	978	924	1238	1287	1369	0	125	1975	374	147	245
HVO_RS13930	NC_013967.1	1774629	1775381	-	753	832	763	795	757	0	47	836	989	226	109
HVO_RS13935	NC_013967.1	1775472	1776776	-	1305	2491	2632	2748	2376	0	115	2457	5926	643	197
HVO_RS13940	NC_013967.1	1776819	1777550	-	732	1154	963	1010	988	1	55	1046	2704	337	110
HVO_RS13945	NC_013967.1	1777642	1778232	-	591	554	678	649	636	0	26	808	930	150	94
HVO_RS13950	NC_013967.1	1778718	1779050	+	333	396	595	694	753	0	33	919	932	296	57
HVO_RS13955	NC_013967.1	1779189	1779806	+	618	715	1064	1217	1224	0	96	1556	831	187	189
HVO_RS13960	NC_013967.1	1779866	1780792	-	927	873	1157	1057	1115	0	60	1197	1509	268	144
HVO_RS13965	NC_013967.1	1780813	1781058	-	246	52	44	24	39	0	6	36	53	7	2
HVO_RS13970	NC_013967.1	1781433	1782674	-	1242	413	244	263	273	0	18	328	540	126	30
HVO_RS13975	NC_013967.1	1782735	1783229	+	495	445	176	174	189	0	10	204	548	73	21
HVO_RS13980	NC_013967.1	1783347	1784102	+	756	561	295	269	395	2	41	427	485	118	43
HVO_RS13985	NC_013967.1	1784155	1785141	+	987	2346	3359	3372	4820	1	214	4646	2377	1000	299
HVO_RS13990	NC_013967.1	1785095	1785331	-	237	365	345	370	651	0	28	816	488	78	60
HVO_RS13995	NC_013967.1	1785485	1785712	+	228	138	181	220	274	0	10	275	325	45	19
HVO_RS14000	NC_013967.1	1785835	1787526	-	1692	1206	903	934	1014	3	110	2003	1046	260	133
HVO_RS14005	NC_013967.1	1787523	1790288	-	2766	2652	1539	1652	1642	4	211	3152	2056	355	281
HVO_RS14010	NC_013967.1	1790495	1791451	+	957	2989	2358	2439	3381	5	78	924	3771	783	166
HVO_RS14015	NC_013967.1	1791457	1792485	+	1029	2466	1024	1078	1743	5	59	462	1859	567	53
HVO_RS14020	NC_013967.1	1792482	1794722	+	2241	4513	1417	1466	2449	4	104	994	2700	886	165
HVO_RS14025	NC_013967.1	1794784	1796034	+	1251	1445	2815	2899	2831	0	127	3264	2000	438	379
HVO_RS14030	NC_013967.1	1796200	1797279	+	1080	1229	975	999	1087	1	46	1026	2003	277	118
HVO_RS14035	NC_013967.1	1797346	1797639	+	294	16262	9853	10283	14009	14	836	17886	22985	1808	1328
HVO_RS14040	NC_013967.1	1797762	1798127	-	366	477	534	550	515	1	32	566	397	123	84
HVO_RS14045	NC_013967.1	1798128	1798691	-	564	889	785	743	770	0	51	857	760	237	92
HVO_RS14050	NC_013967.1	1798688	1799209	-	522	929	687	707	752	0	45	913	751	267	98
HVO_RS14055	NC_013967.1	1799234	1799752	-	519	643	309	297	296	0	30	531	368	138	41
HVO_RS14060	NC_013967.1	1800019	1800366	-	348	291	424	412	571	0	21	358	423	174	34
HVO_RS21305	NC_013967.1	1800526	1801410	-	885	123	109	91	145	0	13	103	157	49	13
HVO_RS14070	NC_013967.1	1801414	1803735	-	2322	814	247	267	296	0	35	268	650	87	33
HVO_RS14075	NC_013967.1	1803818	1804306	-	489	626	626	625	738	1	71	1065	668	198	66
HVO_RS14080	NC_013967.1	1804460	1806424	-	1965	72979	57434	60306	77920	29	1526	70864	54465	15904	8253
HVO_RS14085	NC_013967.1	1806697	1807170	+	474	403	746	758	802	1	48	1407	366	147	135
HVO_RS14090	NC_013967.1	1807573	1808811	+	1239	5920	4145	4348	4294	6	283	4432	2295	754	632
HVO_RS14095	NC_013967.1	1808923	1809396	+	474	672	651	696	659	2	74	1542	419	84	138
HVO_RS14100	NC_013967.1	1809487	1810332	+	846	952	592	585	633	0	49	1177	630	169	85
HVO_RS14105	NC_013967.1	1810464	1810847	+	384	2225	1496	1582	1354	1	152	2015	2780	534	192
HVO_RS21005	NC_013967.1	1811021	1811182	+	162	418	583	628	656	2	37	549	992	107	87
HVO_RS14110	NC_013967.1	1811208	1811531	-	324	809	728	740	1201	4	39	829	1722	437	59
HVO_RS14115	NC_013967.1	1811649	1813451	-	1803	3940	4322	4667	5358	5	392	8883	1832	603	1022
HVO_RS14120	NC_013967.1	1813650	1813895	+	246	911	1694	1887	2287	0	42	2251	1896	309	307
HVO_RS14125	NC_013967.1	1813914	1814372	+	459	2173	4860	4807	4761	3	145	5134	2548	839	787
HVO_RS14130	NC_013967.1	1814406	1815143	-	738	766	1335	1416	1459	0	78	1557	614	221	186
HVO_RS14135	NC_013967.1	1815330	1816622	-	1293	1661	2207	2262	2319	1	116	3286	3219	668	294
HVO_RS14140	NC_013967.1	1816695	1817228	+	534	965	1081	1057	1053	0	90	1161	1429	179	113
HVO_RS14145	NC_013967.1	1817248	1817931	-	684	521	356	374	336	0	45	468	519	124	28
HVO_RS14150	NC_013967.1	1817928	1818632	-	705	547	223	174	184	1	13	399	532	271	37
HVO_RS14155	NC_013967.1	1818629	1819327	-	699	515	285	279	258	0	27	577	772	452	69
HVO_RS14160	NC_013967.1	1819455	1820090	-	636	594	441	503	470	1	12	466	2787	279	46
HVO_RS14165	NC_013967.1	1820205	1820708	+	504	2199	2582	2656	2437	4	161	3079	3648	844	342
HVO_RS14170	NC_013967.1	1820758	1821099	-	342	677	751	736	779	2	60	710	613	159	107
HVO_RS14175	NC_013967.1	1821227	1822090	+	864	2800	3391	3586	3033	1	402	7442	1918	712	819
HVO_RS14180	NC_013967.1	1822087	1823661	+	1575	5074	6670	7211	4680	2	805	16929	2664	1017	1445
HVO_RS14185	NC_013967.1	1823943	1824173	+	231	5171	4488	4641	5120	3	284	5572	14205	1407	982
HVO_RS14190	NC_013967.1	1824240	1824887	-	648	1017	1184	1255	1256	1	124	1524	1160	355	176
HVO_RS14195	NC_013967.1	1824976	1826259	-	1284	2447	2957	3117	3489	2	194	4140	3055	717	411
HVO_RS14200	NC_013967.1	1826450	1827427	+	978	5028	2822	2798	2477	3	231	4859	2154	911	487
HVO_RS14205	NC_013967.1	1827568	1828161	-	594	6143	11318	11686	13867	9	2196	25320	3272	2119	3251
HVO_RS14215	NC_013967.1	1829072	1830373	-	1302	1071	226	228	267	0	15	259	284	60	30
HVO_RS14220	NC_013967.1	1830366	1831403	-	1038	623	118	172	160	0	8	163	123	43	19
HVO_RS14225	NC_013967.1	1831400	1831654	-	255	166	9	7	15	0	2	9	32	3	0
HVO_RS14230	NC_013967.1	1832000	1832953	+	954	372	376	363	343	1	16	614	418	86	81
HVO_RS14235	NC_013967.1	1832950	1833735	+	786	310	329	337	295	0	21	454	228	46	58
HVO_RS14240	NC_013967.1	1833881	1834780	+	900	3156	5226	5908	6078	2	240	3014	4653	812	454
HVO_RS14245	NC_013967.1	1834767	1835816	+	1050	5428	9434	9990	10032	4	361	4871	7457	1279	811
HVO_RS14250	NC_013967.1	1836031	1836627	+	597	397	511	516	652	0	30	862	334	125	88
HVO_RS14255	NC_013967.1	1836712	1836784	+	73	61	85	95	248	1	15	560	153	35	16
HVO_RS14260	NC_013967.1	1837331	1838560	+	1230	1941	5424	5697	3606	1	581	3750	995	298	545
HVO_RS14265	NC_013967.1	1838678	1838872	-	195	9097	8548	8699	14397	9	732	11531	6098	1157	1417
HVO_RS14270	NC_013967.1	1839125	1839742	+	618	393	692	761	824	1	40	805	423	225	57
HVO_RS14275	NC_013967.1	1839773	1840531	-	759	75	156	159	134	0	10	127	151	16	15
HVO_RS14280	NC_013967.1	1840609	1841340	+	732	404	360	344	443	1	23	549	323	119	31
HVO_RS14285	NC_013967.1	1841386	1841982	+	597	530	584	604	644	1	30	824	749	205	58
HVO_RS14290	NC_013967.1	1842074	1842847	+	774	1821	1693	1803	1631	3	96	1393	2529	194	260
HVO_RS14295	NC_013967.1	1842896	1844767	+	1872	809	580	630	615	0	56	538	742	136	70
HVO_RS14300	NC_013967.1	1844851	1846359	-	1509	416	1423	1590	1681	1	204	9777	1100	1610	408
HVO_RS14305	NC_013967.1	1846356	1846637	-	282	12	54	52	87	0	7	520	56	84	18
HVO_RS14310	NC_013967.1	1846826	1848376	+	1551	1361	2407	2399	2387	0	194	4376	1028	284	456
HVO_RS14315	NC_013967.1	1848449	1848724	+	276	553	620	567	865	2	33	821	678	170	120
HVO_RS14320	NC_013967.1	1848804	1849109	+	306	815	878	934	1041	1	60	982	1108	123	152
HVO_RS14325	NC_013967.1	1849160	1850023	-	864	623	826	893	971	1	70	1222	493	95	154
HVO_RS14330	NC_013967.1	1850300	1852315	+	2016	533	513	510	660	0	28	645	878	191	73
HVO_RS14340	NC_013967.1	1853232	1853693	-	462	183	229	214	281	2	13	150	317	73	39
HVO_RS14345	NC_013967.1	1853807	1855564	+	1758	1012	2020	2010	2287	0	164	2188	1007	251	295
HVO_RS14350	NC_013967.1	1855802	1856071	+	270	93	167	168	246	0	6	220	159	32	23
HVO_RS14355	NC_013967.1	1856174	1856482	+	309	526	535	530	480	1	36	1276	422	74	147
HVO_RS14360	NC_013967.1	1856667	1857056	+	390	940	699	792	792	0	30	634	1013	168	92
HVO_RS14365	NC_013967.1	1858184	1858579	-	396	1977	1283	1393	2331	1	42	501	6281	663	67
HVO_RS14370	NC_013967.1	1858707	1859891	-	1185	4772	5659	5862	7900	4	264	3288	5651	1045	425
HVO_RS14375	NC_013967.1	1860015	1860512	+	498	834	992	1006	1030	2	29	615	1247	287	73
HVO_RS14380	NC_013967.1	1860594	1861604	-	1011	26679	31373	32405	32873	5	777	16740	44899	5292	2543
HVO_RS14385	NC_013967.1	1861770	1862669	-	900	4267	3279	3293	4013	3	94	1973	6082	930	300
HVO_RS14390	NC_013967.1	1862777	1864156	-	1380	13761	21357	22274	31127	15	506	12301	27139	6028	985
