# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "gene" "-g" "locus_tag" "-a" "../00_genome/genomic.gff" "-o" "../HVO_counts/2019_counts.txt" "dpyrE2-4hmfe-2_S5_sorted.bam" "dpyrE2-4hmfe-4_S9_sorted.bam" "dpyrE2-4hmfe-5_S18_sorted.bam" "dpyrE2-4hpfe-2_S2_sorted.bam" "dpyrE2-4hpfe-4_S16_sorted.bam" "dpyrE2-4hpfe-5_S12_sorted.bam" "dtbsP-4hmfe-2_S40_sorted.bam" "dtbsP-4hmfe-5_S46_sorted.bam" "dtbsP-4hmfe-6_S52_sorted.bam" "dtbsP-4hpfe-2_S38_sorted.bam" "dtbsP-4hpfe-5_S43_sorted.bam" "dtbsP-4hpfe-6_S49_sorted.bam" "dtrmB-4hmfe-1_S24_sorted.bam" "dtrmB-4hmfe-5_S30_sorted.bam" "dtrmB-4hmfe-6_S36_sorted.bam" "dtrmB-4hpfe-1_S21_sorted.bam" "dtrmB-4hpfe-5_S27_sorted.bam" "dtrmB-4hpfe-6_S33_sorted.bam" "dtrmBdtbsP-4hmfe-2_S56_sorted.bam" "dtrmBdtbsP-4hmfe-5_S66_sorted.bam" "dtrmBdtbsP-4hmfe-6_S72_sorted.bam" "dtrmBdtbsP-4hpfe-2_S54_sorted.bam" "dtrmBdtbsP-4hpfe-5_S65_sorted.bam" "dtrmBdtbsP-4hpfe-6_S69_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	dpyrE2-4hmfe-2_S5_sorted.bam	dpyrE2-4hmfe-4_S9_sorted.bam	dpyrE2-4hmfe-5_S18_sorted.bam	dpyrE2-4hpfe-2_S2_sorted.bam	dpyrE2-4hpfe-4_S16_sorted.bam	dpyrE2-4hpfe-5_S12_sorted.bam	dtbsP-4hmfe-2_S40_sorted.bam	dtbsP-4hmfe-5_S46_sorted.bam	dtbsP-4hmfe-6_S52_sorted.bam	dtbsP-4hpfe-2_S38_sorted.bam	dtbsP-4hpfe-5_S43_sorted.bam	dtbsP-4hpfe-6_S49_sorted.bam	dtrmB-4hmfe-1_S24_sorted.bam	dtrmB-4hmfe-5_S30_sorted.bam	dtrmB-4hmfe-6_S36_sorted.bam	dtrmB-4hpfe-1_S21_sorted.bam	dtrmB-4hpfe-5_S27_sorted.bam	dtrmB-4hpfe-6_S33_sorted.bam	dtrmBdtbsP-4hmfe-2_S56_sorted.bam	dtrmBdtbsP-4hmfe-5_S66_sorted.bam	dtrmBdtbsP-4hmfe-6_S72_sorted.bam	dtrmBdtbsP-4hpfe-2_S54_sorted.bam	dtrmBdtbsP-4hpfe-5_S65_sorted.bam	dtrmBdtbsP-4hpfe-6_S69_sorted.bam
HVO_RS13280	NC_013967.1	1650909	1651583	-	675	1348	407	1496	841	852	1036	270	4	117	1199	1025	1473	2769	2203	1787	1965	1431	1174	390	471	1208	121	5421	315
HVO_RS20975	NC_013967.1	1651680	1651850	-	171	901	506	1096	494	456	484	264	4	110	682	719	836	2802	2537	1918	3299	692	598	245	344	1767	127	5655	230
HVO_RS13285	NC_013967.1	1652155	1652478	+	324	53	47	76	34	48	49	21	0	4	73	74	73	316	312	225	233	60	52	15	15	107	13	485	12
HVO_RS13290	NC_013967.1	1652567	1654345	+	1779	5120	1400	6168	1663	1638	1708	957	6	324	2186	2181	2817	11521	9748	7124	5694	1877	1680	1559	1010	6304	487	16557	765
HVO_RS13295	NC_013967.1	1654412	1654696	+	285	596	399	707	750	807	752	240	3	44	967	977	1176	772	657	731	2222	1106	1187	141	159	1203	99	2372	300
HVO_RS13300	NC_013967.1	1655015	1655935	+	921	3303	380	3868	1128	1075	1285	281	2	158	1934	1850	1961	1121	955	808	2947	2585	2361	518	164	654	174	5552	391
HVO_RS13305	NC_013967.1	1655978	1656925	-	948	967	121	1149	371	427	482	273	1	135	1199	1321	1046	3217	2502	1308	2580	773	714	131	84	341	109	4812	236
HVO_RS13310	NC_013967.1	1657128	1657616	+	489	243	129	286	213	276	305	89	1	26	451	529	474	411	291	306	714	476	487	91	46	323	35	1079	177
HVO_RS20175	NC_013967.1	1657661	1657936	+	276	106	48	123	95	123	131	37	0	14	244	196	224	218	152	123	330	198	169	22	31	156	9	543	44
HVO_RS13325	NC_013967.1	1659966	1660205	+	240	38	8	31	84	82	82	10	0	7	95	68	146	71	49	36	165	138	90	6	18	46	0	145	15
HVO_RS20980	NC_013967.1	1660355	1660495	+	141	171	81	221	238	247	296	32	1	24	262	253	453	100	132	160	668	443	467	55	57	238	27	970	98
HVO_RS13330	NC_013967.1	1660545	1661777	-	1233	1658	387	1892	1434	1476	1333	281	0	218	1388	1386	2126	927	772	868	5242	2518	2026	440	234	825	75	7984	444
HVO_RS20185	NC_013967.1	1661889	1662266	+	378	273	97	362	310	374	312	79	0	14	235	208	442	297	155	239	470	532	314	66	75	226	20	1217	117
HVO_RS13340	NC_013967.1	1662369	1663601	-	1233	1832	1238	2310	4073	4768	4210	1192	0	205	3776	4195	6307	1835	1369	1326	4371	7247	6006	526	354	2674	241	10290	2032
HVO_RS13345	NC_013967.1	1663843	1664175	-	333	1135	433	1277	1480	1539	1991	304	2	97	1453	1404	2806	3114	2341	1936	2227	2266	2311	398	589	1305	100	7062	484
HVO_RS13350	NC_013967.1	1664260	1665405	-	1146	1487	454	1906	1356	1334	1504	476	0	104	2023	2108	2339	1417	1207	1120	2317	2199	2029	458	301	1690	157	5040	730
HVO_RS19290	NC_013967.1	1665497	1665924	-	428	585168	128470	720692	301797	321603	408067	117857	250	19049	405750	409981	471184	889084	729443	534567	545497	546934	482528	189691	177533	762887	29430	734483	133531
HVO_RS13355	NC_013967.1	1666075	1666677	+	603	3810	1088	4686	2914	3004	4074	903	2	123	5939	6110	5898	2613	2670	2030	4207	5450	4582	929	757	5784	272	5646	1572
HVO_RS13360	NC_013967.1	1666767	1667933	-	1167	1195	373	1430	1635	1627	1898	398	0	104	2490	2190	2755	773	724	591	2506	2892	2142	210	426	1197	68	3358	519
HVO_RS13365	NC_013967.1	1668011	1668331	-	321	122	31	139	142	146	137	31	0	8	157	145	250	175	125	90	327	207	165	17	28	121	1	531	49
HVO_RS13370	NC_013967.1	1668369	1669796	-	1428	1301	288	1648	796	844	932	172	0	78	744	720	1351	947	694	628	1633	1151	990	288	203	859	63	3501	261
HVO_RS13375	NC_013967.1	1669841	1670281	-	441	379	184	478	264	282	398	80	0	50	350	310	568	382	317	330	1495	536	470	127	114	373	20	1570	104
HVO_RS13380	NC_013967.1	1670378	1671808	-	1431	3330	858	4078	2322	2370	2467	604	3	208	3213	3113	4545	5079	3753	2912	3723	4256	3662	850	551	2416	171	10375	1059
HVO_RS13385	NC_013967.1	1671908	1672480	+	573	841	193	984	569	560	591	125	1	24	670	669	1007	1342	993	821	699	840	671	181	205	907	48	1390	173
HVO_RS13390	NC_013967.1	1672559	1673044	-	486	787	218	896	706	800	899	252	0	18	765	721	954	944	779	619	593	1039	799	109	225	820	19	1008	199
HVO_RS13395	NC_013967.1	1673282	1675861	+	2580	4054	424	4921	1300	1271	1199	474	2	112	3497	3344	4164	2231	1765	1600	2370	2262	1770	852	715	2725	167	9198	808
HVO_RS13400	NC_013967.1	1675922	1677049	+	1128	663	176	844	778	721	744	181	1	68	1280	1189	1433	1419	1091	808	2263	1573	1335	128	255	617	48	2516	244
HVO_RS13405	NC_013967.1	1677249	1677677	-	429	1692	206	2021	683	682	798	184	2	43	836	772	1313	697	569	635	1853	1089	1083	256	201	706	55	3405	198
HVO_RS13410	NC_013967.1	1677900	1678811	-	912	564	91	619	370	432	501	110	0	26	612	595	785	964	725	492	581	717	606	95	131	360	16	1083	141
HVO_RS13415	NC_013967.1	1678866	1679552	+	687	536	99	745	421	441	614	105	0	43	713	664	823	901	654	446	667	834	712	134	209	385	19	1572	141
HVO_RS13420	NC_013967.1	1679617	1680906	+	1290	2209	880	2757	3139	3189	4673	815	0	177	4414	4297	5778	4660	3611	2276	2843	6425	5102	507	965	2579	101	5388	989
HVO_RS13425	NC_013967.1	1680926	1681369	-	444	552	235	652	937	1029	1171	239	0	31	1146	1071	1555	1321	1114	635	1149	1546	1244	97	235	726	31	1454	290
HVO_RS13430	NC_013967.1	1681496	1682023	+	528	584	233	651	1000	1046	1027	275	0	52	1281	1302	1317	755	495	477	1234	1515	1130	104	217	858	39	1658	313
HVO_RS13435	NC_013967.1	1682086	1682775	-	690	591	136	702	716	844	818	164	0	35	1204	1159	1265	851	674	473	692	1501	1185	103	213	525	26	1327	221
HVO_RS13440	NC_013967.1	1682896	1683264	+	369	945	232	1204	599	642	654	218	1	24	760	774	956	1554	1146	982	512	989	724	234	256	1508	45	1208	299
HVO_RS13445	NC_013967.1	1683261	1683815	+	555	1936	362	2263	1224	1318	1198	273	0	54	1513	1505	2168	3046	2463	1810	1113	1870	1493	371	464	1931	77	2413	353
HVO_RS13450	NC_013967.1	1683867	1684322	-	456	2738	716	3238	1997	2046	2327	617	2	82	2224	2195	2887	4963	3447	3096	2463	3126	2554	475	645	2667	118	3848	715
HVO_RS13455	NC_013967.1	1684424	1684885	+	462	991	276	1122	831	746	910	215	0	47	929	870	1123	1762	1168	944	823	1218	1083	208	422	1107	48	1697	228
HVO_RS13460	NC_013967.1	1684989	1686278	+	1290	3233	1233	3588	3693	3737	4339	942	3	288	4850	4827	6216	2892	2280	1925	5705	6820	5355	948	872	3931	247	11257	1615
HVO_RS13465	NC_013967.1	1686324	1686752	-	429	632	215	769	1131	1124	1304	283	1	78	1871	1784	2248	623	414	412	2881	2476	1837	145	155	570	52	3867	568
HVO_RS13470	NC_013967.1	1686807	1687244	-	438	944	331	1146	2014	2151	1952	507	0	166	4560	4543	4645	556	454	547	4300	4713	4060	207	200	695	76	5499	1151
HVO_RS13475	NC_013967.1	1687269	1687670	-	402	3682	1487	4603	8655	9246	9703	2220	5	1020	22087	20043	18168	2819	2612	1953	33393	22204	19970	717	865	4644	261	18574	3893
HVO_RS13480	NC_013967.1	1687825	1688127	+	303	426	321	482	701	665	950	179	0	40	710	692	1226	794	604	547	1136	1072	759	117	198	855	34	1773	228
HVO_RS13485	NC_013967.1	1688224	1689318	-	1095	3681	1404	4066	4738	4917	5352	915	4	291	5606	5577	8664	7025	4628	3736	4795	8095	6131	876	1438	5905	222	11385	1750
HVO_RS13490	NC_013967.1	1689487	1690386	+	900	1968	541	2306	2653	2817	3268	674	2	169	5532	5004	5131	3295	2394	1664	3354	6380	4735	313	727	1649	74	4255	995
HVO_RS13495	NC_013967.1	1690567	1691148	+	582	9919	2869	12024	11307	11516	11802	2833	8	905	23589	23922	24670	12896	10224	7952	20103	25852	21316	2370	2289	9932	877	28809	6161
HVO_RS13500	NC_013967.1	1691389	1692804	+	1416	1246	564	1428	2076	2259	2098	625	1	116	1929	1906	3003	1916	1442	1213	3364	3372	2567	236	268	1482	103	4266	773
HVO_RS13505	NC_013967.1	1692867	1692939	+	73	282	50	306	211	221	361	78	0	9	345	313	488	510	413	225	468	559	364	36	90	402	9	451	94
HVO_RS13510	NC_013967.1	1694560	1695912	+	1353	258	97	306	302	337	398	99	0	14	284	331	443	235	209	181	611	471	422	47	39	359	29	739	157
HVO_RS20190	NC_013967.1	1696544	1696873	+	330	67	12	83	121	122	149	34	0	3	116	173	200	41	64	54	174	184	167	6	8	71	7	131	39
HVO_RS13530	NC_013967.1	1698524	1699651	+	1128	339	170	401	432	465	493	123	0	25	529	779	803	268	293	303	557	739	747	108	34	510	60	842	337
HVO_RS20205	NC_013967.1	1699699	1700727	-	1029	132	45	137	111	132	161	51	0	2	172	199	276	187	192	126	282	246	193	29	27	195	13	341	63
HVO_RS13535	NC_013967.1	1701014	1701250	+	237	1	0	2	1	1	6	0	0	0	10	4	9	7	5	1	8	4	4	0	0	3	0	10	1
HVO_RS13540	NC_013967.1	1701339	1702970	+	1632	40	10	35	41	57	70	17	0	4	88	85	127	67	43	50	121	109	95	8	17	55	3	121	20
HVO_RS13545	NC_013967.1	1703287	1703676	+	390	384	355	469	857	956	1128	262	0	28	1021	1099	1246	559	449	391	1536	1478	1265	69	62	848	64	1221	511
HVO_RS13550	NC_013967.1	1704184	1704411	+	228	62	41	67	106	70	78	23	1	5	84	100	135	277	167	217	167	130	117	17	20	115	5	242	43
HVO_RS13560	NC_013967.1	1704683	1705852	+	1170	388	118	477	332	356	439	116	0	25	442	530	577	537	411	373	699	557	506	127	66	523	21	801	171
HVO_RS13565	NC_013967.1	1706125	1706198	+	74	12	1	10	1	5	5	0	0	1	4	9	6	5	2	5	25	13	15	0	2	5	0	23	4
HVO_RS13570	NC_013967.1	1706585	1708384	-	1800	2420	1158	2999	5041	5436	5522	1133	5	216	3761	3718	8332	4078	2909	2976	6646	7538	5887	620	545	3249	170	11908	1945
HVO_RS13575	NC_013967.1	1708769	1710103	+	1335	1556	319	1770	1334	1363	1393	254	1	71	1648	1504	2418	3492	2412	1863	1615	2155	1567	337	507	1525	56	3054	381
HVO_RS13580	NC_013967.1	1710113	1710439	-	327	537	171	648	497	467	604	98	1	39	602	642	816	916	607	540	815	797	645	122	108	647	19	1339	161
HVO_RS13585	NC_013967.1	1710559	1711206	-	648	859	263	1021	886	963	1122	219	0	69	1181	1087	1535	1104	840	652	1523	1671	1312	227	179	715	68	2669	335
HVO_RS13590	NC_013967.1	1711294	1712145	-	852	1065	323	1257	1043	1039	1093	278	2	53	1294	1285	1627	1612	1064	856	1461	1778	1434	304	253	1027	64	2921	434
HVO_RS13595	NC_013967.1	1712217	1712663	-	447	352	119	452	517	556	720	130	0	24	558	555	900	888	648	435	751	867	676	63	119	348	15	1213	168
HVO_RS13600	NC_013967.1	1712786	1714081	-	1296	2283	702	2694	2804	2874	3150	654	1	140	3328	3347	4522	3249	2433	1794	3534	5246	3785	537	483	2099	136	5554	987
HVO_RS13605	NC_013967.1	1714136	1715041	-	906	621	205	796	850	950	907	189	0	53	1388	1473	1778	686	533	519	1297	1702	1368	117	140	464	36	1949	356
HVO_RS13610	NC_013967.1	1715144	1715734	-	591	1430	538	1630	1325	1276	1581	328	2	72	1783	1747	1991	1243	1128	1250	2524	1902	1514	343	416	2073	114	4646	499
HVO_RS13615	NC_013967.1	1715738	1716100	-	363	1728	631	1995	1343	1464	1837	429	2	94	2176	2122	2582	2314	1918	1757	2267	2271	2005	400	276	1943	102	5304	696
HVO_RS13620	NC_013967.1	1716206	1716661	-	456	5655	3036	7043	10622	11278	12506	2888	10	1081	20008	20453	20241	4475	4258	3536	37079	22834	23182	1337	1355	8363	590	25206	5221
HVO_RS13625	NC_013967.1	1716776	1717804	-	1029	1225	378	1542	1710	1718	1792	505	1	90	2544	2799	3036	541	531	463	2812	3333	3131	227	216	1018	127	3485	725
HVO_RS13630	NC_013967.1	1717971	1718864	+	894	1455	295	1703	1321	1503	1667	309	0	143	2673	2295	2843	1742	1388	1003	2613	2816	2384	306	424	1001	48	5505	449
HVO_RS13635	NC_013967.1	1718904	1720043	-	1140	5384	882	6303	2687	2577	2698	688	5	242	2844	3048	4559	4357	3871	3424	5914	4240	3618	1224	604	3255	282	14241	1039
HVO_RS13640	NC_013967.1	1720493	1720738	-	246	2141	2668	2587	904	944	1344	436	0	416	497	547	924	2385	1378	3761	8802	1064	1454	818	377	2008	106	13167	404
HVO_RS13645	NC_013967.1	1721045	1721830	-	786	1215	314	1410	996	1129	1254	289	1	73	1659	1511	1736	2699	1975	1435	1500	1863	1471	317	434	1294	93	3614	382
HVO_RS13650	NC_013967.1	1721855	1722199	-	345	152	31	221	188	181	267	46	0	5	391	422	407	296	294	183	386	407	470	27	67	153	8	431	49
HVO_RS13655	NC_013967.1	1722293	1723006	+	714	830	335	1053	1697	1719	1810	512	1	90	3036	3155	3181	439	396	350	1647	3380	3023	170	264	1190	62	2310	965
HVO_RS13660	NC_013967.1	1723008	1724675	+	1668	2856	1478	3351	6416	6772	6555	1824	5	307	10752	10869	11241	1510	1317	1233	6382	12256	9844	554	1164	5350	322	9189	3054
HVO_RS13665	NC_013967.1	1724727	1725266	-	540	1248	488	1551	1427	1644	1554	421	0	86	2508	2409	2878	1834	1877	1477	2145	2705	2199	413	449	2544	98	2858	728
HVO_RS13670	NC_013967.1	1725397	1725873	+	477	11113	1758	12691	3912	3813	5558	882	7	289	3818	3580	6894	5638	4190	4824	6384	6013	4129	2930	2295	6778	419	23678	1328
HVO_RS13675	NC_013967.1	1726022	1727809	+	1788	4973	1055	6017	3219	3440	3629	808	11	265	3292	3276	5672	2781	2215	2057	6666	5496	4089	1156	684	2631	284	18206	1175
HVO_RS13680	NC_013967.1	1727916	1729421	+	1506	7717	2271	9350	9142	9629	9496	2135	3	523	12716	12609	16727	9018	7581	5618	10814	18425	14066	1626	1779	8270	450	20762	3898
HVO_RS13685	NC_013967.1	1729602	1729850	-	249	351	154	404	605	676	836	166	0	46	997	938	1335	507	432	433	1922	1398	1197	72	101	593	28	1990	288
HVO_RS20985	NC_013967.1	1730131	1730301	-	171	810	279	936	809	866	1271	276	0	47	1463	1255	1631	1319	1018	821	1312	1789	1431	168	280	982	45	2134	439
HVO_RS13690	NC_013967.1	1730301	1731374	-	1074	5412	1862	6670	5643	5870	7944	2137	5	299	8448	8346	10241	8061	5963	4754	6817	11818	9229	1052	1179	5983	234	13933	2867
HVO_RS13695	NC_013967.1	1731564	1732481	+	918	592	252	702	683	726	692	203	0	49	858	978	1076	345	316	290	1409	1184	903	163	89	563	66	2601	381
HVO_RS13700	NC_013967.1	1732596	1732892	+	297	826	291	948	512	531	752	159	1	40	566	500	675	1053	864	817	968	710	591	122	205	873	32	2291	135
HVO_RS13705	NC_013967.1	1732943	1733122	+	180	388	218	475	364	418	440	123	1	28	533	404	511	607	413	497	999	579	528	88	50	406	57	1817	120
HVO_RS13710	NC_013967.1	1733316	1733386	-	71	250	77	343	273	332	373	128	1	32	745	713	714	297	347	214	342	701	705	50	72	230	21	724	167
HVO_RS13715	NC_013967.1	1733825	1734655	+	831	9026	2243	10718	6769	7020	7351	1389	9	273	7514	7554	10725	2711	2092	2451	8664	11474	9593	1548	792	3660	309	18267	2145
HVO_RS13720	NC_013967.1	1734697	1735392	-	696	1104	221	1234	884	883	798	167	1	74	1158	1020	1466	1142	911	740	1526	1500	1230	202	270	607	59	2902	266
HVO_RS13725	NC_013967.1	1735453	1736130	+	678	3152	793	3635	3302	3386	3802	855	0	257	4983	4564	5565	6322	4909	3122	6343	6056	5231	581	892	2849	123	9322	1137
HVO_RS13730	NC_013967.1	1736209	1736280	+	72	139	57	176	305	294	317	40	0	23	406	357	633	269	192	138	1096	613	355	31	32	202	7	669	84
HVO_RS13735	NC_013967.1	1736369	1737445	-	1077	910	176	1157	398	438	293	116	2	66	429	462	706	544	448	664	2111	809	772	275	85	318	85	6079	180
HVO_RS13740	NC_013967.1	1737687	1738298	-	612	4632	527	5548	1109	1217	1032	327	6	205	1916	2015	3382	9534	7999	6229	4899	2505	2595	1184	455	1965	313	14642	775
HVO_RS13745	NC_013967.1	1738397	1739014	+	618	483	78	627	237	223	238	54	1	14	206	267	345	502	379	339	500	341	275	101	51	278	36	1385	86
HVO_RS13750	NC_013967.1	1739055	1739708	+	654	428	244	541	794	837	790	136	0	115	676	596	1225	858	840	727	4456	1069	868	140	161	655	33	1755	153
HVO_RS13755	NC_013967.1	1740018	1740884	-	867	1188	280	1458	1139	1144	1507	306	2	54	1733	1523	1891	940	695	750	1116	1870	1377	207	421	1008	51	2917	337
HVO_RS13760	NC_013967.1	1740881	1741579	-	699	1216	294	1414	1027	1218	1458	380	0	48	1302	1326	1822	1005	728	722	1162	1764	1275	176	228	1075	43	2527	357
HVO_RS13765	NC_013967.1	1741604	1742632	-	1029	3938	995	4867	2397	2512	3960	1091	1	68	2476	2635	3470	2187	1474	2081	1435	3632	2703	518	916	4397	106	3772	875
HVO_RS13770	NC_013967.1	1742864	1743340	+	477	726	121	833	435	478	559	92	0	40	540	493	976	1158	974	636	1050	725	642	125	202	595	29	1768	125
HVO_RS20990	NC_013967.1	1743400	1743573	-	174	662	150	762	538	542	586	115	0	34	551	529	788	1082	799	574	955	836	632	121	174	540	31	1578	148
HVO_RS20995	NC_013967.1	1743570	1743746	-	177	339	82	371	298	284	383	57	0	14	470	451	604	562	427	354	427	573	503	52	106	410	24	874	107
HVO_RS13775	NC_013967.1	1743807	1744214	-	408	696	175	851	738	810	965	189	1	48	1207	1144	1445	724	514	476	1308	1487	1311	163	177	690	41	2318	338
HVO_RS13780	NC_013967.1	1744375	1745007	-	633	1865	584	2135	2146	2169	2230	525	0	145	2970	3102	4118	2326	1943	1810	5162	4042	3572	456	424	1700	129	8345	868
HVO_RS13785	NC_013967.1	1745062	1745340	-	279	2038	594	2366	2192	2240	3381	388	2	166	4205	3544	5051	3062	2535	1700	6508	5340	4681	358	1155	2890	76	8078	845
HVO_RS13790	NC_013967.1	1745405	1747063	-	1659	1672	1229	1885	5271	5811	6213	1195	5	353	10023	9643	10278	1687	1231	1538	7990	11139	9192	495	582	2426	197	12477	2739
HVO_RS13795	NC_013967.1	1747097	1747402	-	306	2641	1711	3354	5961	6492	7230	1884	2	499	12726	13336	12028	2559	2898	2604	18607	13127	12432	735	638	3894	282	13291	3720
HVO_RS13800	NC_013967.1	1747471	1748010	-	540	1820	1045	2045	4176	4345	4533	1016	1	266	6212	5945	6618	1240	864	929	6106	6911	5534	436	857	3213	251	9667	1771
HVO_RS13805	NC_013967.1	1748024	1748221	-	198	1080	884	1349	2308	2477	2486	891	1	126	3197	3546	3295	776	544	546	2579	3623	3556	323	217	1703	199	5683	1435
HVO_RS13810	NC_013967.1	1748221	1748793	-	573	2349	1900	2922	5391	5812	5960	1755	1	385	7266	7748	8012	1639	1226	1235	6153	8607	7265	568	582	3864	366	12983	3082
HVO_RS13815	NC_013967.1	1748801	1749190	-	390	1945	1217	2397	3993	4118	4865	976	0	274	5344	5129	5807	1437	1101	983	6089	6360	4992	567	909	4517	196	8880	1876
HVO_RS13820	NC_013967.1	1749192	1750424	-	1233	8166	4545	9699	13122	13790	14267	3964	11	939	21182	21923	23608	5113	4389	4167	20462	24464	19866	2393	2234	10120	1054	35152	7445
HVO_RS13825	NC_013967.1	1750666	1751475	-	810	164	470	149	685	670	563	716	5	116	5123	5571	2237	432	492	994	1689	1120	882	122	942	4677	82	7999	542
HVO_RS13830	NC_013967.1	1751599	1752582	+	984	1891	369	2363	1188	1323	1231	299	3	96	2200	2063	2496	2733	2123	1762	2060	2228	1964	435	523	1535	88	5517	483
HVO_RS13835	NC_013967.1	1752587	1752799	-	213	351	62	417	231	290	270	44	0	10	417	379	546	485	375	265	396	482	342	69	96	329	10	1007	85
HVO_RS13840	NC_013967.1	1752796	1753620	-	825	1187	368	1445	1010	995	1090	296	0	108	1581	1628	1787	1515	1096	986	1827	1735	1414	333	310	1507	81	3385	459
HVO_RS13845	NC_013967.1	1754022	1754762	+	741	277	78	345	454	504	430	102	0	34	425	395	713	372	280	224	1262	684	591	73	48	187	22	1682	120
HVO_RS13850	NC_013967.1	1754807	1756231	-	1425	4457	2318	5435	7488	7791	7132	2009	4	551	6712	6685	8781	5994	3913	4292	11453	10125	9214	1278	716	3327	655	20946	3188
HVO_RS13855	NC_013967.1	1756555	1758696	+	2142	1002	248	1164	1071	1125	1071	315	0	53	1258	1204	1647	686	588	579	1052	1664	1486	165	142	517	57	1903	441
HVO_RS13870	NC_013967.1	1761405	1761608	+	204	196	62	202	183	201	459	38	0	1	80	70	88	56	55	61	83	155	118	14	80	149	3	164	27
HVO_RS13875	NC_013967.1	1761736	1762869	+	1134	18732	4806	22618	5006	5170	11670	2235	3	77	1184	1135	1910	3278	3936	3329	1497	3389	2065	3052	2490	9698	47	2453	352
HVO_RS21000	NC_013967.1	1763000	1763173	+	174	286	152	297	566	588	677	152	1	39	894	909	1195	128	170	127	1004	930	695	40	92	314	18	1290	239
HVO_RS13880	NC_013967.1	1763225	1765132	-	1908	6729	2448	8259	9359	9798	10824	2890	6	590	14411	13969	19162	5486	5035	3353	13053	16072	12359	1245	1642	7753	373	18208	4135
HVO_RS13885	NC_013967.1	1765262	1767262	-	2001	7175	2885	8535	7625	7923	10063	2005	3	149	2736	2786	5327	4039	3353	2870	3375	6653	4716	1096	1757	7106	134	7452	1202
HVO_RS13890	NC_013967.1	1767360	1768268	-	909	2039	503	2339	1674	1712	1529	412	1	56	2058	2112	2857	3567	2739	2012	1403	2490	1967	402	669	2563	74	2526	555
HVO_RS20210	NC_013967.1	1768353	1768697	+	345	282	79	333	260	261	304	86	0	17	567	579	503	527	483	344	470	516	513	45	65	370	10	432	106
HVO_RS13900	NC_013967.1	1768729	1770297	+	1569	13524	2930	16595	11697	12277	16620	4392	4	66	2261	2274	5145	4746	4800	3489	2140	8991	4559	1633	1862	9976	75	1771	1038
HVO_RS13905	NC_013967.1	1770475	1771857	+	1383	5658	2783	6761	8878	9392	11133	3020	5	445	11837	12098	13274	5486	4821	3911	9571	14257	11684	1261	1675	9517	490	12853	3569
HVO_RS13910	NC_013967.1	1771907	1772260	-	354	808	282	990	924	979	1093	211	3	51	1208	1233	1694	1514	1211	891	1586	1642	1301	163	226	933	33	2175	316
HVO_RS13915	NC_013967.1	1772389	1772886	+	498	2184	613	2448	2046	2144	2450	502	2	204	3204	3008	3997	3208	2542	2046	5290	3668	3318	499	527	2075	131	8668	882
HVO_RS13920	NC_013967.1	1772932	1773294	-	363	818	215	1007	588	717	838	190	0	60	987	907	1315	1495	975	915	1917	1255	966	223	239	822	59	3558	264
HVO_RS13925	NC_013967.1	1773508	1774485	+	978	924	346	1065	1238	1287	1369	383	0	125	1975	1807	2101	377	375	402	3267	2472	2134	239	148	899	131	4710	658
HVO_RS13930	NC_013967.1	1774629	1775381	-	753	832	269	1004	763	795	759	237	0	47	836	796	1135	1636	989	857	908	1145	1026	221	226	814	52	2757	275
HVO_RS13935	NC_013967.1	1775472	1776776	-	1305	2492	520	2964	2633	2751	2377	445	0	115	2457	2237	4036	8652	5928	4133	2738	3686	2928	470	643	1822	64	4094	592
HVO_RS13940	NC_013967.1	1776819	1777550	-	732	1154	292	1361	961	1010	989	210	1	55	1046	1033	1530	3318	2703	1810	1410	1482	1311	215	337	1032	41	1984	285
HVO_RS13945	NC_013967.1	1777642	1778232	-	591	553	263	591	678	649	637	217	0	26	808	880	918	1063	930	771	880	1056	905	119	150	580	58	1155	263
HVO_RS13950	NC_013967.1	1778718	1779050	+	333	396	147	453	595	694	753	153	0	33	918	853	1074	1187	932	554	1092	1046	996	76	295	886	18	1000	174
HVO_RS13955	NC_013967.1	1779189	1779806	+	618	714	369	836	1064	1217	1225	319	0	96	1556	1503	1853	1137	833	746	1734	2058	1579	244	187	1027	85	3095	463
HVO_RS13960	NC_013967.1	1779866	1780792	-	927	874	308	1091	1158	1057	1116	226	0	60	1197	1220	1958	1974	1511	1279	1629	1725	1280	252	268	987	61	2697	366
HVO_RS13965	NC_013967.1	1780813	1781058	-	246	53	9	74	44	24	39	15	0	6	36	36	52	54	53	54	147	40	38	17	7	44	2	209	11
HVO_RS13970	NC_013967.1	1781433	1782674	-	1242	413	79	503	244	263	273	74	0	18	328	249	366	664	540	426	348	359	272	123	126	331	26	1015	78
HVO_RS13975	NC_013967.1	1782735	1783229	+	495	447	62	449	176	174	189	69	0	10	204	202	258	670	548	407	428	254	225	155	73	316	23	1043	70
HVO_RS13980	NC_013967.1	1783347	1784102	+	756	561	112	573	295	269	395	88	2	41	427	403	536	596	486	439	630	471	375	171	118	263	37	1831	109
HVO_RS13985	NC_013967.1	1784155	1785141	+	987	2346	850	2909	3359	3366	4815	921	1	214	4644	4325	4510	2938	2379	1974	4531	5538	3796	386	1001	3268	118	5303	784
