# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-s" "2" "-t" "gene" "-g" "locus_tag" "-a" "../00_genome/genomic.gff" "-o" "../HVO_counts/2021_counts3.txt" "aGTrmB_D_noglu_24_S42_sorted.bam" "deltadelta_a_glu_S16_sorted.bam" "deltadelta_a_noglu_S35_sorted.bam" "deltadelta_b_glu_S53_sorted.bam" "deltadelta_b_noglu_S36_sorted.bam" "deltadelta_c_glu_S43_sorted.bam" "deltadelta_d_glu_S44_sorted.bam" "deltadelta_d_noglu_S5_sorted.bam" "HVO_ref_RNA_S27_sorted.bam" "tbsP_a_glu_S33_sorted.bam" "tbsP_a_noglu_S24_sorted.bam" "tbsP_b_glu_S2_sorted.bam" "tbsP_b_noglu_S30_sorted.bam" "tbsP_c_glu_S51_sorted.bam" "tbsP_c_noglu_S15_sorted.bam" "tbsP_d_glu_S52_sorted.bam" "tbsP_d_noglu_S31_sorted.bam" "tbsP_e_glu_S3_sorted.bam" "tbsP_e_noglu_S50_sorted.bam" "trmB_a_glu_S4_sorted.bam" "trmB_a_noglu_S32_sorted.bam" "trmB_b_noglu_S25_sorted.bam" "trmB_c_glu_S34_sorted.bam" "trmB_c_noglu_S1_sorted.bam" "WT_a_glu_S39_sorted.bam" "WT_a_noglu_S37_sorted.bam" "WT_b_glu_S13_sorted.bam" "WT_b_noglu_S17_sorted.bam" "WT_c_glu_S18_sorted.bam" "WT_c_noglu_S6_sorted.bam" "WT_d_glu_S19_sorted.bam" "WT_d_noglu_s38_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	aGTrmB_D_noglu_24_S42_sorted.bam	deltadelta_a_glu_S16_sorted.bam	deltadelta_a_noglu_S35_sorted.bam	deltadelta_b_glu_S53_sorted.bam	deltadelta_b_noglu_S36_sorted.bam	deltadelta_c_glu_S43_sorted.bam	deltadelta_d_glu_S44_sorted.bam	deltadelta_d_noglu_S5_sorted.bam	HVO_ref_RNA_S27_sorted.bam	tbsP_a_glu_S33_sorted.bam	tbsP_a_noglu_S24_sorted.bam	tbsP_b_glu_S2_sorted.bam	tbsP_b_noglu_S30_sorted.bam	tbsP_c_glu_S51_sorted.bam	tbsP_c_noglu_S15_sorted.bam	tbsP_d_glu_S52_sorted.bam	tbsP_d_noglu_S31_sorted.bam	tbsP_e_glu_S3_sorted.bam	tbsP_e_noglu_S50_sorted.bam	trmB_a_glu_S4_sorted.bam	trmB_a_noglu_S32_sorted.bam	trmB_b_noglu_S25_sorted.bam	trmB_c_glu_S34_sorted.bam	trmB_c_noglu_S1_sorted.bam	WT_a_glu_S39_sorted.bam	WT_a_noglu_S37_sorted.bam	WT_b_glu_S13_sorted.bam	WT_b_noglu_S17_sorted.bam	WT_c_glu_S18_sorted.bam	WT_c_noglu_S6_sorted.bam	WT_d_glu_S19_sorted.bam	WT_d_noglu_s38_sorted.bam
HVO_RS11995	NC_013967.1	1379388	1380074	+	687	2227	4326	5614	3520	4397	2210	2409	4180	3	2670	4521	2741	4674	3557	4546	3109	4450	2641	4941	3050	3945	6136	3892	4618	3824	4679	4567	4716	3540	2758	7246	3509
HVO_RS12000	NC_013967.1	1380074	1380610	+	537	1174	1834	2929	1314	2141	907	1005	2127	1	959	1849	1031	1907	1554	2255	1180	2051	1014	2111	1182	2292	3372	1413	2407	1730	2253	2101	2355	1439	1256	3121	1935
HVO_RS12005	NC_013967.1	1380674	1380886	-	213	963	2097	1304	2176	1212	1717	1872	961	1	1916	1592	1957	1727	2212	1259	2104	1535	1456	1685	2249	909	901	1552	871	1595	1207	1517	1231	1442	1047	2297	1254
HVO_RS12010	NC_013967.1	1381022	1381348	+	327	2833	2779	2098	2263	1649	1800	1827	1466	0	1858	1939	1892	1938	2612	1748	2166	1949	1851	2036	2429	2479	2683	2161	2516	2454	2423	3542	2434	2385	1665	3832	1912
HVO_RS12015	NC_013967.1	1381400	1382311	-	912	1828	4694	4019	6202	4207	5460	6227	3661	1	5854	6366	5500	6603	6197	4485	6443	6726	1876	6733	6715	766	802	1979	712	2315	1748	2437	1873	1625	1932	2857	1373
HVO_RS12020	NC_013967.1	1383031	1384200	+	1170	376	291	244	278	250	243	305	228	0	326	289	240	277	363	227	298	249	254	249	344	261	398	276	368	264	264	1345	623	270	382	414	657
HVO_RS20145	NC_013967.1	1385553	1386272	-	720	5048	5903	2694	6638	3915	5766	7617	3826	4	5266	5015	5334	4688	6987	3178	7327	4688	6494	5243	7610	2876	2279	5533	2893	5089	3688	7275	4830	5236	4097	7958	3636
HVO_RS20150	NC_013967.1	1386375	1387490	-	1116	1960	2451	1073	2679	1239	2155	3010	1368	1	2566	2012	2222	2144	2808	1401	2807	1816	2553	2087	2935	875	768	2275	907	2158	1550	3561	2200	2244	2499	3172	1798
HVO_RS20155	NC_013967.1	1387487	1388401	-	915	1046	1355	657	1326	1007	1238	1677	913	0	1504	1263	1231	1291	1344	761	1544	1293	1505	1383	1678	568	468	1281	545	1197	1022	1466	1609	1325	1204	1779	1239
HVO_RS20160	NC_013967.1	1388454	1389884	-	1431	683	905	1418	987	1658	815	1107	1882	1	1079	1486	835	1517	1051	1071	883	1453	954	1600	936	1168	1026	1019	1206	944	1318	932	1725	848	1241	1558	1143
HVO_RS12030	NC_013967.1	1390102	1391268	-	1167	425	267	345	283	259	244	262	325	0	297	354	283	317	371	257	312	285	322	280	349	412	517	265	513	243	268	1258	748	309	386	440	923
HVO_RS20165	NC_013967.1	1391455	1392831	+	1377	1296	1741	848	1957	1291	1701	2602	1459	2	1782	1473	1563	1580	2387	1000	1986	1744	1885	1778	2105	1295	923	1539	1175	1150	1642	1906	2468	1231	2068	1926	1498
HVO_RS12035	NC_013967.1	1393000	1393731	+	732	2734	2764	1776	3370	1859	3310	3951	1592	0	3979	3435	3051	3308	3244	2202	3203	2705	3096	2871	3520	979	1031	2733	972	2885	1798	2206	1765	2598	3057	4104	2326
HVO_RS12040	NC_013967.1	1393780	1394667	+	888	2357	5250	2276	4954	2510	4033	4888	2551	4	5050	4058	4510	4131	4950	2896	5175	3927	3293	4106	5888	2266	1772	3139	2032	2904	1976	3649	2216	3071	2349	4400	1963
HVO_RS12045	NC_013967.1	1394676	1395617	-	942	3029	5433	2533	6877	2857	5486	6700	2548	0	6276	5743	5840	5649	6229	3122	6800	4717	6563	5699	7300	2031	2687	6130	2469	6608	3360	5694	3782	6267	4994	9740	4275
HVO_RS12050	NC_013967.1	1395734	1398898	+	3165	36500	16225	6912	30278	12080	23690	36181	10832	16	29295	23005	24671	27986	31599	16186	31365	27572	25725	29547	28407	2299	1918	22400	1623	23616	19429	19087	24340	15405	42320	26109	26960
HVO_RS12055	NC_013967.1	1399056	1400348	-	1293	3224	4320	5420	4471	4301	3109	3584	4245	2	3196	4453	3364	4644	3985	4135	4263	4739	3337	4787	4452	2370	2820	3949	2642	3888	4113	4247	5194	3683	3330	6493	4240
HVO_RS12060	NC_013967.1	1400470	1401438	+	969	2123	5097	3441	5368	3194	3965	4042	3368	2	4838	5857	4795	5851	5525	4458	5854	6369	4452	6875	6334	2808	2972	4578	2342	4893	4861	7139	6210	4741	4357	8035	4620
HVO_RS20570	NC_013967.1	1401545	1401700	-	156	189	899	3246	539	2151	388	381	2259	0	442	1070	465	1299	598	1674	598	1718	375	1546	612	3151	3370	547	3381	644	3112	1008	1757	678	532	1197	1201
HVO_RS12065	NC_013967.1	1401868	1402422	-	555	1902	2526	1791	2388	1424	1702	1710	1280	1	2042	1923	1935	1980	2500	1662	2309	1704	2199	1916	2512	1378	1667	2172	1501	2254	1839	2942	2015	2257	1554	3704	1914
HVO_RS12070	NC_013967.1	1402619	1402807	+	189	543	1762	1982	1380	1949	986	1053	1617	1	908	1551	1020	1859	1317	1537	1071	1640	981	1716	1087	2000	2484	1304	2199	1365	2050	1690	1904	1381	786	2698	1435
HVO_RS12075	NC_013967.1	1402837	1403517	-	681	2754	5010	5238	3711	3983	3096	2925	3452	2	3282	3506	3405	3493	4538	3700	3585	3248	3264	3517	4132	3518	4395	3396	4002	4161	4132	4463	3895	3867	2399	6391	3120
HVO_RS12080	NC_013967.1	1403626	1404828	-	1203	2574	3223	4942	3024	3002	2379	2446	3062	3	3264	3751	3062	3599	3114	3685	2989	3216	2481	3754	3384	4033	5340	2363	4007	2806	3715	3357	3181	2659	2891	4350	2564
HVO_RS12085	NC_013967.1	1405185	1406945	+	1761	1184	1891	1534	1716	1591	1123	1239	1220	1	1449	2624	1441	2988	1673	2352	1572	2385	1480	2762	1383	684	1266	2012	931	2142	1629	1459	1568	1861	2214	4134	1698
HVO_RS12090	NC_013967.1	1406932	1408200	+	1269	690	1028	988	1124	889	650	728	686	0	814	1556	864	1666	1010	1508	869	1243	797	1608	816	406	755	1098	468	1168	911	794	813	1040	1298	2281	1025
HVO_RS12095	NC_013967.1	1408197	1409507	+	1311	1654	1738	1844	1897	1796	1205	1312	1505	0	1708	2594	1430	2898	1562	2425	1512	2199	1604	2484	1512	1869	2505	2137	2300	2088	1820	1365	1608	1866	2566	3961	1786
HVO_RS12100	NC_013967.1	1409871	1411403	+	1533	17233	2400	5329	3038	5565	1946	2309	4505	4	4674	9645	3257	10606	2569	7255	2834	6915	8166	9259	2992	4522	5600	8614	5310	10720	9637	4754	12273	10908	24311	17222	13163
HVO_RS12105	NC_013967.1	1411407	1412471	+	1065	9137	1114	3009	1530	3462	945	1238	2707	4	2363	5490	1719	6281	1384	4409	1598	4098	4581	5297	1551	1918	2636	5143	2129	6000	5749	2807	7381	6330	15489	10860	7676
HVO_RS12110	NC_013967.1	1412569	1412844	+	276	1422	4364	3447	4056	2652	3706	3500	2455	2	3526	2991	3436	2675	3557	2378	3590	2596	3176	2685	4468	3586	4133	2910	3833	3154	2964	3366	2854	2781	2241	4638	2771
HVO_RS12115	NC_013967.1	1412928	1413314	-	387	5762	6986	9556	5533	9374	3641	4197	7317	4	4693	8299	4434	8284	6436	7044	4011	6641	4576	7421	4409	5799	9485	5567	7878	6278	7093	6140	6793	6461	5388	12346	6342
HVO_RS12120	NC_013967.1	1413311	1414009	-	699	11486	10794	15194	9137	14926	5971	7182	11068	2	7955	14139	7583	13983	10381	12303	6613	11764	8247	12709	7637	8216	13822	10365	11798	11800	12185	8786	11577	11401	10011	21236	12315
HVO_RS12125	NC_013967.1	1414133	1415131	-	999	15854	7388	19234	8265	21558	4707	6267	19899	2	10587	29895	8018	28076	8246	26544	6648	25280	13884	26335	6738	5046	9130	16085	7381	18772	21030	8060	25588	20369	28152	32392	25283
HVO_RS12130	NC_013967.1	1415297	1418428	-	3132	53564	68917	51137	78052	42077	56672	61313	46113	21	61458	51980	61238	52249	69451	40252	77812	52421	55476	59001	77951	38271	51546	57069	39888	56973	44284	59203	48916	46661	41082	81137	40424
HVO_RS12135	NC_013967.1	1418809	1419417	-	609	938	2674	2734	2164	2071	1719	2024	1863	1	1467	2288	1693	2433	2242	2222	2196	2419	1426	2338	2155	1802	2498	2342	2139	2845	3235	4275	2654	2079	1704	4238	1726
HVO_RS12140	NC_013967.1	1419475	1419930	-	456	1066	2386	2871	1946	2358	1449	1615	2396	0	1522	2220	1603	2372	1895	2218	1719	2436	1489	2557	1961	2229	2864	1848	2534	2436	3325	3018	2805	2052	1380	3789	2006
HVO_RS12145	NC_013967.1	1419994	1420476	-	483	983	2022	3840	1535	2780	1179	1382	3059	0	1575	2931	1479	2840	1416	2775	1409	3341	1624	3154	1656	3022	3668	1879	3353	2090	3454	1829	3292	1988	1672	3524	2469
HVO_RS12150	NC_013967.1	1420537	1420980	-	444	753	1466	2075	1246	1458	893	896	1244	0	808	1427	857	1753	1228	1692	1197	1724	712	1884	1034	1094	1661	1161	1345	1532	2468	2263	1740	1132	634	2709	908
HVO_RS12155	NC_013967.1	1421062	1421682	-	621	1780	3253	3737	2277	2616	1788	1838	2744	0	2110	3175	2387	2913	2419	2910	2316	2224	2083	2946	2843	2536	5629	2035	3942	2730	3361	3496	2720	2608	1775	4754	2129
HVO_RS12160	NC_013967.1	1421746	1423074	-	1329	1561	1691	1400	1270	1153	932	1153	1099	0	1369	1695	1333	1737	1355	1394	1469	1461	1253	1706	1585	794	1654	1438	1066	1580	1185	1744	1164	1471	1198	2452	1121
HVO_RS12165	NC_013967.1	1423128	1424813	+	1686	4887	6729	2709	7521	3125	4640	4887	2387	2	5564	4673	6034	5214	6544	4267	7437	4091	4899	5057	7161	1462	3229	6334	1738	5958	2549	6588	2337	4587	3016	10274	2614
HVO_RS12170	NC_013967.1	1424810	1425433	+	624	1965	1978	788	2378	876	1427	1518	621	1	1763	1302	1944	1580	2194	1331	2386	1290	1453	1641	2305	350	688	2046	331	1834	763	1952	662	1362	965	3029	758
HVO_RS12175	NC_013967.1	1425648	1425884	-	237	789	5438	6138	4534	4094	2280	4017	2754	2	3562	3342	2819	5544	2252	6896	2874	6163	1716	6455	3284	1420	2509	2759	1373	1869	3856	2400	3731	1863	5448	4720	3767
HVO_RS12180	NC_013967.1	1426301	1427275	+	975	3675	19790	3302	16168	2412	14090	14823	2895	5	21686	8341	19284	6967	18212	6898	19428	7326	14164	7711	25474	2369	2162	10755	1704	9551	6170	21797	9367	9685	8263	12240	7686
HVO_RS12185	NC_013967.1	1427348	1428652	+	1305	1706	6375	4526	5043	2975	3809	4221	3413	3	5361	3951	5332	3870	5360	3222	6013	3469	3940	3816	6648	4469	8067	4259	6197	4165	3286	8505	3421	4078	3033	6532	3028
HVO_RS12190	NC_013967.1	1428701	1429240	-	540	2463	4134	2625	4545	2001	3523	3489	1810	1	4123	3075	3816	3047	4800	2212	4615	2760	3713	3102	4692	1475	2010	3819	1682	3798	2535	4095	2812	3204	3145	5240	2559
HVO_RS12195	NC_013967.1	1429308	1429667	-	360	9023	13012	7445	15709	5876	12529	12178	5415	8	14083	6822	13437	6441	15685	5122	14841	5558	12721	6535	16564	8870	8437	9317	8689	9291	6133	10231	6260	8840	7586	13153	6079
HVO_RS20955	NC_013967.1	1430025	1430198	+	174	1076	825	1029	759	908	1470	2115	748	0	710	650	582	695	724	799	832	612	1135	686	825	2773	3923	1567	3607	2480	5029	2806	1721	1104	1295	2007	769
HVO_RS12200	NC_013967.1	1430347	1431078	+	732	19819	33435	13399	31124	11505	24210	22673	8399	6	24342	22929	24155	23064	33318	18876	27991	17982	25537	20105	29752	6831	9089	30676	8548	34826	15059	29461	14810	31328	18213	52837	15618
HVO_RS12205	NC_013967.1	1431219	1431596	-	378	3278	2602	5323	1720	4838	897	1450	5044	3	1165	4771	1312	4943	1479	4483	1682	5772	1639	5763	1598	7377	13205	3242	9592	2427	6877	3713	8779	2964	3774	5856	5031
HVO_RS12210	NC_013967.1	1431708	1433237	-	1530	4241	8795	9405	9563	8546	6991	7705	8698	4	7367	7540	7897	8363	9110	7482	9417	10011	4801	10918	9616	6139	12045	6111	7369	7843	10097	9092	8208	5109	5333	12276	6008
HVO_RS12215	NC_013967.1	1433356	1435113	+	1758	3647	3585	4086	4540	3080	3389	3601	3196	1	4203	3378	3926	2916	4186	3166	4260	2744	4104	3331	4204	3110	4441	3640	2992	3316	2297	3430	2125	2296	2021	3927	1630
HVO_RS12220	NC_013967.1	1435178	1435537	+	360	1084	1405	1523	1525	1489	1106	1216	1573	0	1289	1450	1246	1474	1449	1477	1485	1502	1248	1643	1543	1036	1407	1478	1045	1469	1685	1672	1263	1118	941	2125	996
HVO_RS12225	NC_013967.1	1435666	1436373	+	708	1423	2252	2772	2259	2098	1712	1805	2014	1	1870	2177	1807	2296	2100	2218	2157	2498	1776	2525	2050	1416	1814	2195	1531	2206	2546	2128	2669	1828	1732	3487	2207
HVO_RS12230	NC_013967.1	1436475	1437308	+	834	3362	4499	9520	3566	6261	2592	2818	6380	0	3088	6094	3239	5859	3830	5941	3445	5957	3142	6622	3966	7045	9967	3597	8806	4518	7836	5028	7320	4459	3661	8459	5400
HVO_RS12235	NC_013967.1	1437398	1437616	+	219	549	953	1003	817	681	625	667	471	0	714	819	659	959	871	811	789	860	609	1025	820	473	458	863	548	926	960	925	976	830	481	1623	733
HVO_RS12240	NC_013967.1	1437643	1438743	-	1101	12881	16408	20540	19487	18092	13139	15837	16866	8	16297	18164	14919	17994	17757	21252	15641	17253	14366	17938	14221	9822	18141	19416	13878	24202	19571	13723	12012	12907	19743	30659	12964
HVO_RS12245	NC_013967.1	1438743	1441139	-	2397	21627	33938	44290	40123	39177	26001	32821	37441	10	34134	39123	30812	38086	36730	43067	31432	36229	30576	38056	29341	24522	48940	42092	36028	49454	37085	28327	24778	27609	39021	64659	28466
HVO_RS12250	NC_013967.1	1441393	1443312	+	1920	19309	17484	2254	20829	3168	13783	15483	2392	16	20470	16857	18530	16645	20652	12400	20192	11863	17909	15030	19854	1558	2674	19330	2123	18629	4780	12773	4697	15271	13948	27066	7628
HVO_RS12255	NC_013967.1	1443314	1445902	+	2589	29776	20788	3190	24897	4687	15428	18011	3804	15	23065	18602	21607	18751	24442	14248	24153	14201	20435	17110	23930	2710	4963	22266	3400	21075	5964	17044	5908	18087	16103	31067	9049
HVO_RS12260	NC_013967.1	1446004	1446420	+	417	1534	2416	1854	2100	1996	1269	1592	1821	0	1860	2239	1901	2413	2109	1907	2138	2411	1597	2722	2242	1368	2577	2094	1581	1868	1895	2732	2353	1943	1536	3752	1966
HVO_RS12265	NC_013967.1	1446425	1446895	-	471	3147	4228	8690	4577	6216	3133	3445	5942	1	4009	6331	3720	6241	4198	6067	3921	5885	3849	6658	4162	3278	5293	4512	4047	6043	6060	5204	5586	5276	4000	9645	4117
HVO_RS12270	NC_013967.1	1446895	1447794	-	900	5338	8289	13975	8654	11219	5516	6080	10950	9	7054	12218	7328	11495	7730	9935	7657	10746	7584	12115	8102	6818	12350	9735	9281	10158	10184	9721	9732	9279	7615	17857	7861
HVO_RS12275	NC_013967.1	1447899	1448819	-	921	2410	7841	3931	7686	3261	6227	6446	2674	2	5513	3219	5804	3179	6814	2965	7327	3193	5271	3412	7710	3063	4790	5096	4162	4845	3087	6168	3178	3917	2533	6861	2775
HVO_RS12280	NC_013967.1	1448985	1449518	+	534	5622	11133	11523	11944	9030	17561	19204	7550	7	9665	10622	10834	10877	13781	11209	10560	11330	7474	10357	12275	7828	12213	11322	9395	12623	15392	13164	8377	6636	9664	15938	5850
HVO_RS12285	NC_013967.1	1449766	1450959	-	1194	24098	40771	24591	46802	19351	39301	39110	21433	10	39535	30603	37873	31867	38804	22976	44159	32104	35912	33665	48490	27288	33388	32714	26860	36822	30847	36916	32109	31331	30667	52011	29316
HVO_RS12290	NC_013967.1	1451074	1451892	-	819	6545	7292	7736	8501	5748	5836	6758	6126	4	8416	8465	7984	8448	8160	6457	9065	8776	8417	9342	10177	6613	7180	8095	6528	8834	7890	10771	9277	8941	7207	13570	7572
HVO_RS12295	NC_013967.1	1451897	1453096	-	1200	2081	4706	3035	4248	2765	3249	3868	2622	0	4471	5099	4312	5504	4131	3622	4697	5581	4352	6464	5311	1448	2325	4035	1466	4847	3821	6302	4787	4533	4210	7724	3795
HVO_RS12300	NC_013967.1	1453098	1453613	-	516	583	1681	1095	1532	1057	1153	1281	940	0	1392	1522	1382	1691	1425	1157	1550	1703	1470	1887	1619	383	742	1562	474	1722	1260	2017	1444	1555	1322	2559	1136
HVO_RS12305	NC_013967.1	1453668	1453922	+	255	911	1308	1957	1427	1250	1020	1039	1268	0	1003	1015	1091	1176	1449	1223	1230	1101	843	1323	1175	2784	3182	1197	2369	1134	1613	1460	1209	929	694	2034	1059
HVO_RS12310	NC_013967.1	1454019	1454288	+	270	1088	3186	3422	3656	2601	2503	2703	2213	1	2289	2262	2680	2287	3743	2368	3185	2245	2106	2483	3353	3717	3949	2565	3006	2692	3124	4474	2399	2034	1270	4490	1953
HVO_RS12315	NC_013967.1	1454301	1454882	-	582	2264	2523	3728	1621	3286	1311	1355	2954	1	1089	2824	1342	3097	1580	2902	1745	3513	1254	3629	1766	3229	4939	2175	3660	2612	3742	2685	3142	2153	978	4701	1864
HVO_RS12320	NC_013967.1	1455006	1457012	+	2007	10393	2660	10396	2906	11989	1755	2186	8976	5	3160	21568	2843	23602	3122	13845	3051	19906	6020	22983	3057	2998	3875	7735	3560	11476	15664	6110	19972	13762	22559	22937	19379
HVO_RS12325	NC_013967.1	1457033	1458340	-	1308	849	1240	2423	942	2073	720	669	1817	0	522	4568	732	5619	1130	4746	1149	7553	401	6804	1082	355	647	705	439	691	945	2273	921	622	323	1184	674
HVO_RS12330	NC_013967.1	1458484	1459191	-	708	2328	4334	2683	3916	2031	2708	2702	1825	2	2761	2496	3015	2596	5124	2501	4381	2374	2678	2449	4305	2353	3367	3430	2739	3695	2839	8891	2683	3397	1781	6130	2226
HVO_RS12335	NC_013967.1	1459300	1459620	-	321	1955	3583	2369	3357	1799	2249	2444	1557	1	2302	2036	2406	2322	4008	2444	3514	2221	2264	2372	3133	1947	2219	2826	2027	3000	2644	5359	2825	2701	1576	4842	2151
HVO_RS12340	NC_013967.1	1459673	1460830	-	1158	9361	15958	7398	17659	8768	10305	12588	8167	5	11718	9159	12808	10333	18325	8853	17834	10367	11620	11488	16416	3863	7030	14264	4697	13460	9462	20305	10814	10571	8226	22118	9598
HVO_RS12345	NC_013967.1	1460975	1462852	-	1878	59366	81573	77139	95653	79149	67443	79291	83380	38	83184	96547	81149	82328	94032	76638	88723	80812	86427	91362	96088	25953	37667	80748	31525	87031	72727	72314	92947	76512	86471	130305	84782
HVO_RS12350	NC_013967.1	1463074	1463835	-	762	1980	5125	9296	3955	6366	2468	3033	6585	1	2803	6258	3140	6101	4130	6088	4069	6438	3245	6721	4074	6657	9203	4835	8416	4888	7398	7932	7701	4848	3605	9515	5462
HVO_RS12355	NC_013967.1	1463962	1464657	-	696	7187	9897	9442	7715	6456	6635	6523	6760	4	7287	7481	7445	7603	7696	6646	7948	7081	8048	8358	9784	7730	11281	6294	9114	8566	7897	9766	7869	8202	5237	14157	6518
HVO_RS12360	NC_013967.1	1464784	1465530	-	747	7407	6834	14234	4416	10757	3568	3646	9849	2	3749	10736	4102	10734	4669	9921	4703	11024	4275	12262	5327	10948	14893	5980	12187	7605	12743	8140	11501	7958	4991	14355	8119
HVO_RS12365	NC_013967.1	1465704	1466645	+	942	5217	8724	8193	9648	6652	6564	6708	6265	3	6746	6060	7295	6243	9732	6207	9457	6288	5991	6677	9200	8699	10506	6751	9244	6762	6816	9146	6429	5894	4003	10730	5011
HVO_RS12370	NC_013967.1	1466642	1467178	+	537	4111	6573	6105	7222	5193	4834	4946	4977	4	5174	4693	5645	5014	7242	4703	6964	4881	4588	5428	6579	6201	7429	4897	6438	4953	5319	6715	5050	4519	3170	8244	3632
HVO_RS12375	NC_013967.1	1467212	1468714	-	1503	7338	11918	11275	10102	8036	6925	7748	8410	3	8779	9046	9162	8928	10138	7907	10131	7985	8464	9562	11641	9677	15649	8711	11678	9790	8654	13773	8198	9691	6238	17271	7004
HVO_RS12380	NC_013967.1	1468841	1469233	+	393	1486	4737	4088	4401	2978	3279	3629	3143	1	4337	4006	4076	4186	4483	2912	4567	4010	3928	4401	5131	3366	4043	3546	3803	3960	3626	5708	4471	4025	3068	6303	3504
HVO_RS12385	NC_013967.1	1469248	1470627	-	1380	5526	10069	10036	9201	7416	6747	7530	7416	2	8342	7992	8007	7605	9903	7868	10029	8298	8259	8897	10855	8155	10563	8104	8466	8865	9093	13215	9376	8799	5798	13875	7255
HVO_RS20960	NC_013967.1	1470778	1470927	+	150	819	1662	1103	1390	1142	1032	1275	953	0	1353	878	1205	1119	1173	772	1108	955	1309	1067	1263	674	682	1417	863	1213	1102	1278	1365	1264	563	2086	1030
HVO_RS12390	NC_013967.1	1470929	1471378	-	450	1056	765	370	696	444	437	579	401	0	473	366	560	489	811	406	741	435	527	486	625	194	371	730	288	651	494	768	545	496	560	1065	477
HVO_RS12395	NC_013967.1	1471413	1472237	-	825	4257	5561	1736	5627	2014	3506	3705	1878	2	4850	2357	4870	2461	6575	2676	5050	2200	3865	2174	5194	1600	2241	4192	1773	3762	2349	3993	1800	3289	1800	6536	1949
HVO_RS12400	NC_013967.1	1472225	1473094	-	870	3070	5326	2019	5232	2084	3177	3426	1831	0	4048	2012	4269	2193	5642	2609	4726	1758	3385	2054	4620	1513	2652	4002	1689	3482	2011	3155	1653	2945	1463	6002	1844
HVO_RS12405	NC_013967.1	1473091	1474137	-	1047	4572	9105	3584	8391	3502	5715	5877	3074	2	7060	3264	7100	3657	9123	4118	7281	2883	5521	3165	7127	3310	5547	6961	3926	5519	3448	4722	2355	4598	2311	9999	2798
HVO_RS12410	NC_013967.1	1474393	1475514	+	1122	3296	2954	4014	2184	3794	1838	2035	3672	1	1591	5426	1847	5651	1876	4104	2309	5474	2139	5846	2415	1759	2477	3043	1992	4107	4925	2733	5716	3354	3681	6263	4474
HVO_RS12415	NC_013967.1	1475645	1477207	+	1563	19937	14871	2861	16600	2556	12859	14513	2342	3	16747	5815	14423	6831	12376	4224	16256	3959	13417	5271	17253	1034	1541	10427	1210	7995	1547	6415	1508	6629	4239	9291	2068
HVO_RS12420	NC_013967.1	1477228	1477647	-	420	723	615	862	450	873	240	326	815	1	321	905	297	867	333	569	376	616	359	835	375	1062	2079	664	1302	603	676	781	646	648	467	1286	550
HVO_RS12425	NC_013967.1	1477729	1477974	+	246	2339	380	266	246	179	194	326	149	0	170	336	180	347	204	292	258	415	221	407	254	281	431	433	327	430	613	512	444	320	593	784	283
HVO_RS12430	NC_013967.1	1478199	1479374	-	1176	2640	3643	4316	3295	3489	2176	2706	3230	5	2814	3592	2819	3765	2902	3150	2888	3414	2892	3730	3156	3779	5348	3509	4349	3756	3753	4139	4049	3250	3169	6261	3073
HVO_RS12435	NC_013967.1	1479457	1480329	-	873	2659	1806	3833	1622	2364	980	1409	2446	0	1519	3081	1563	3038	1581	2603	1697	2997	2110	3266	1886	2200	3457	2638	3157	2904	3112	3539	3994	3072	3005	5160	2971
HVO_RS12440	NC_013967.1	1480452	1481303	-	852	9773	10550	8277	8874	6514	7185	7901	7062	5	8861	8723	8669	8830	8337	7416	9624	7548	8844	9289	11049	10667	12615	8657	10164	10554	7436	13667	7451	9479	7435	15277	6351
HVO_RS12445	NC_013967.1	1481424	1481627	+	204	1715	2333	2260	2738	1409	2439	2366	835	3	2394	1296	2065	1541	2360	1407	2410	1227	1949	1587	2354	1242	1521	2344	1368	2584	1505	2250	1114	1935	970	3835	985
HVO_RS12450	NC_013967.1	1481749	1482207	-	459	1263	832	234	513	342	811	984	270	0	1192	409	1209	492	1260	317	1139	372	1306	397	1142	224	229	1219	164	1005	292	761	240	793	480	1426	373
HVO_RS12455	NC_013967.1	1482327	1483013	-	687	2143	2602	845	2049	1305	2707	3173	943	2	3744	1380	3521	1727	3983	1095	3565	1349	3679	1519	3470	759	708	3370	601	3114	1086	2203	825	2288	1515	4312	1320
HVO_RS12460	NC_013967.1	1483089	1483442	-	354	593	1786	884	1663	691	1248	1420	752	0	1634	881	1434	1100	1481	636	1573	902	1461	1043	1535	634	704	1262	633	1335	768	1363	921	1180	920	1906	805
HVO_RS12465	NC_013967.1	1483545	1484300	-	756	1920	4312	3264	5018	2358	3633	4004	2227	1	4397	2633	4128	2696	4233	2100	4598	2615	4481	3073	4899	1995	2268	3702	2052	3787	2257	3362	2707	3516	2665	5186	2376
HVO_RS12470	NC_013967.1	1484423	1485127	+	705	1659	2555	4507	1999	3289	1506	1490	2653	1	1437	2597	1645	2568	2129	2460	1913	2632	1538	2802	2065	2774	3854	2319	3454	2421	3107	2911	2684	2290	1409	4609	1976
HVO_RS12475	NC_013967.1	1486496	1486942	+	447	197	809	313	762	476	571	627	455	0	613	659	596	717	703	426	667	643	405	692	697	230	496	508	477	509	425	398	356	504	320	903	338
